,acronym,Phrases
8986,SR,spectral response (SR); spectral responsivity (SR)
8987,SR,signal region (SR); signal regions (SR)
8988,SR,super-resolution (SR)
8989,SR,slew rate (SR); shear rates (SR); shear rate (SR)
8990,SR,synchronous region (SR); synchronous relay (SR)
8991,SR,SR and NR values are given for the ADF (SR)
8992,SR,short-range (SR); short ranges (SR); short-ranged (SR)
8993,SR,specular reflection (SR)
8994,SR,state-resolved (SR)
8995,SR,Schumann resonance (SR)
8996,SR,synchrotron radiation (SR)
8997,SR,spin-molecular rotation (SR)
8998,SR,stretch ratio (SR)
8999,SR,single-reference (SR); single reference (SR)
9000,SR,scattering region (SR)
9001,SR,Schumann–Runge (SR)
9002,SR,solar reflectance (SR)
9003,SR,superposition rheology (SR)
9004,SR,slide-ring (SR)
9005,SR,standing rolls (SR)
9006,SR,scalar relativistic (SR); Scalar relativistic (SR); scalar-relativistic (SR)
9007,SR,squaraine-derived rotaxane (SR)
9008,SR,stochastic resonance (SR); Stochastic resonance (SR)
9009,SR,studies on catalysis of different reactions based on Au {n}(SR)
9010,SR,Species-Reaction (SR)
9011,SR,superimposed radiation (SR)
9012,SR,switched reluctance (SR)
9013,SR,synthetic methods have been developed to control the size of Au {n}(SR)
9014,SR,super-regular (SR)
9015,SR,solution-based thio-protected Au nanoclusters (Au {n}(SR)
9016,SR,sacrificial reagent (SR)
9017,SR,satellite reflection (SR)
9018,CONE,cone structure (CONE)
9019,HEL,Hugoniot elastic limit (HEL); Hugoniot elastic Limit (HEL); Hugoniot Elastic Limit (HEL)
9020,HEL,hen egg white lysozyme (HEL)
9021,HEL,high energy laser (HEL); high-energy laser (HEL)
9022,MIP-SL,mask-image-projection-based stereolithography (MIP-SL)
9023,SWEs,shallow water equations (SWEs)
9024,SEEC,secondary electron emission coefficient (SEEC)
9025,D-HVPE,dynamic-HVPE (D-HVPE)
9026,TG-FROG,Transient-Gating Frequency-Resolved Optical Gating (TG-FROG)
9027,LBIC,Light Beam induced current (LBIC); light beam Induced Current (LBIC); Light Beam Induced Current (LBIC); laser beam-induced current (LBIC); laser beam induced current (LBIC); laser-beam-induced current (LBIC); laser-beam induced current (LBIC)
9028,PFSA,perfluoro-sulfonic acid (PFSA); polyfluorosulfonic acid (PFSA)
9029,LPm,Longitudinally Patterned microtube (LPm); Longitudinally patterned microtube (LPm)
9030,ATEG,annular thermoelectric generator (ATEG)
9031,B-SV,bottom spin valves (B-SV)
9032,N–S,Navier–Stokes (N–S)
9033,DQW,double-quantum-well (DQW); double quantum wells (DQW); double quantum waveguide (DQW); double quantum well (DQW)
9034,BOPET,biaxially oriented polyethylene terephthalate (BOPET)
9035,TDMA,time-division multiple access (TDMA); Time Division Multiple Access (TDMA)
9036,TDMA,TriDiagonal Matrix Algorithm (TDMA)
9037,MRDE,matrix Riccati differential equation (MRDE)
9038,OPLS,Optimized Potentials for Liquid Simulations (OPLS); Optimized Potential for Liquid Simulations (OPLS); optimized potentials for liquid simulation (OPLS)
9039,OPLS,Optimized Intermolecular Potential Functions (OPLS)
9040,ARUPS,angle-resolved ultraviolet photoemission spectroscopy (ARUPS); angular resolved ultraviolet photoelectron spectroscopy (ARUPS)
9041,MWT,Maximum Weight Tree (MWT); maximum weight tree (MWT)
9042,MWT,MAXIMUM WEIGHT TREE (MWT)
9043,NEMI,noise equivalent magnetic induction (NEMI)
9044,NEMI,National Electronics Manufacturing Initiative (NEMI)
9045,Z-type,Z in the X–Y plane (Z-type)
9046,SII,specimen II (SII)
9047,O-T,orthorhombic-tetragonal (O-T)
9048,HeSE,helium-3 surface spin echo (HeSE)
9049,HeSE,helium spin-echo (HeSE)
9050,TGs,transmission gaps (TGs)
9051,UGVs,unmanned ground vehicles (UGVs)
9052,PAA,prepared complexes of chitosan and polyacrylic acid (PAA)
9053,PAA,polyacrylic acid (PAA); polyacrylamide (PAA)
9054,PAA,phased array antenna (PAA); phased array antennae (PAA)
9055,PAA,pre-averaging approach (PAA)
9056,PAA,phonon-assisted absorption (PAA)
9057,PAA,porous anodic alumina (PAA)
9058,RCCs,Regional Climate Centers (RCCs)
9059,MDCD,Minimum Dispersion and Controllable Dissipation (MDCD)
9060,WKE,wave kinetic equation (WKE)
9061,VACNT,Vertically aligned CNT (VACNT); vertically aligned CNT (VACNT)
9062,VACNT,vertically aligned straight carbon nanotube (VACNT)
9063,VUV-MATI,vacuum ultraviolet mass-analyzed threshold ionization (VUV-MATI); Vacuum ultraviolet mass-analyzed threshold ionization (VUV-MATI)
9064,SSIPs,solvent-separated ion pairs (SSIPs)
9065,UV-VIS-NIR,ultra violet-visible-near infra red (UV-VIS-NIR); ultraviolet visible near infrared (UV-VIS-NIR); ultraviolet-visible-near infrared (UV-VIS-NIR)
9066,UV-VIS-NIR,UV–visible–near-IR (UV-VIS-NIR)
9067,UV-VIS-NIR,UV-visible-near-infrared (UV-VIS-NIR)
9068,FED,field emission devices (FED)
9069,FED,field-emission display (FED)
9070,MGCC,MG central controller (MGCC)
9071,ODPL,omnidirectional photoluminescence (ODPL)
9072,HCL,hole collecting layer (HCL); hole collection layer (HCL); hole contact layer (HCL)
9073,HCL,Hermiticity of H implies that H {LC}=(HCL)
9074,RC-LEDs,resonant-cavity LEDs (RC-LEDs)
9075,BVPs,boundary value problems (BVPs)
9076,SVHPLs,single-valued harmonic polylogarithms (SVHPLs)
9077,KdV-B,Korteweg–de Vries/Burgers (KdV-B)
9078,NRDSE,non-resonant dynamic Stark effect (NRDSE)
9079,FDMV,fast disruption mitigation valve (FDMV)
9080,PIMBE,plasma-induced molecular-beam epitaxy (PIMBE)
9081,GF-LMTO,Green's function-based tight-binding linear muffin-tin orbital (GF-LMTO)
9082,NNLO,next-to-next-to-leading-order (NNLO); next-to-next-to-leading order (NNLO)
9083,FECO,fringes of equal chromatic order (FECO)
9084,Italy,its operation at the Gran Sasso underground laboratory of INFN (Italy)
9085,POZ,primary ozonide (POZ)
9086,ETBM,empirical tight binding model (ETBM)
9087,CSTSs,corona-stabilized triggered switches (CSTSs)
9088,ACAP,adaptive CAP (ACAP)
9089,LH-DAC,laser-heated diamond anvil cell (LH-DAC)
9090,PGMEA,propylene glycol methyl ether acetone (PGMEA); propylene glycol monomethyl ether acetate (PGMEA)
9091,HC-EBIT,Heidelberg Compact EBIT (HC-EBIT); Heidelberg Compact EBITs (HC-EBIT)
9092,BLT,Baum-Liu-Tesche (BLT)
9093,BLT,Ba {1−x}La {x}Ti {1−x∕4}O {3} (BLT)
9094,ICPS,Inductive coupled plasma spectroscopy (ICPS)
9095,BED,boron-enhanced diffusion (BED)
9096,BED,Binary-Encounter-Dipole (BED)
9097,LAO/SVO,LAO/SVO heterostructure (LAO/SVO)
9098,OSU,Ohio State University (OSU)
9099,MAX-SAT,maximum satisfiability (MAX-SAT)
9100,CCQE,charged-current quasielastic (CCQE)
9101,CCQE,CC quasielastic (CCQE)
9102,LCCD,linearized coupled cluster doubles (LCCD)
9103,SACP,selected area channeling patterns (SACP)
9104,TMY,typical meteorological year (TMY)
9105,AXK,approximate-exchange-kernel (AXK)
9106,TRDR,time-resolved differential reflection spectroscopy (TRDR)
9107,SMSS,space modulated spin structure (SMSS)
9108,EMFC,electromagnetic flux-compression (EMFC)
9109,CyCl,cyanuric chloride (CyCl)
9110,QoIs,quantities-of-interest (QoIs)
9111,AGGA,adiabatic generalized gradient approximation (AGGA)
9112,RRRs,residual resistivity ratios (RRRs)
9113,PAD,photofragment angular distribution (PAD); photoelectron angular distributions (PAD); photoelectron angular distribution (PAD); Photoelectron Angular Distribution (PAD)
9114,PAD,polymer-assisted deposition (PAD)
9115,PAD,photoacoustic dermoscopy (PAD)
9116,PAD,polar angle distribution (PAD)
9117,TCRs,T-cell receptors (TCRs)
9118,TCRs,thermal contact resistances (TCRs)
9119,UB3LYP,unrestricted B3LYP (UB3LYP)
9120,AC-AFM,acquired with both amplitude-modulated tapping mode AFM (AC-AFM)
9121,LEM,Langevin Equation Method (LEM)
9122,LEM,Linear Eddy Model (LEM)
9123,LEM,local-energy-minimum (LEM)
9124,LEM,Linear Electric Motor (LEM)
9125,BDTs,boosted decision trees (BDTs)
9126,NSP,nucleus-size pinning (NSP)
9127,NSP,Non-Subsampled Pyramid (NSP)
9128,DOES,density of excited states (DOES)
9129,DOES,DENSITY OF EXCITED STATES (DOES)
9130,LEOP,longitudinal EO pumping (LEOP); Longitudinal EO pumping (LEOP)
9131,SG-II,Shenguang II (SG-II)
9132,AHLs,acyl-homoserine lactones (AHLs)
9133,SRT-LBE,single-relaxation-time lattice Boltzmann equation (SRT-LBE)
9134,TSRs,tip speed ratios (TSRs); tip-speed ratios (TSRs)
9135,LARA,large-aperture ring amplifier (LARA)
9136,OSB,orbital shaken bioreactor (OSB)
9137,SOV,spin-orbit-vibron (SOV)
9138,SLID,solid-liquid interdiffusion (SLID); solid–liquid interdiffusion (SLID)
9139,CENAM,Centro Nacional de Metrología (CENAM)
9140,HiLumi,High Luminosity (HiLumi)
9141,ESMAP,Energy Sector Management Assistance Program (ESMAP)
9142,EDIP,environment-dependent inter-atomic potential (EDIP); Environment Dependent Interatomic Potential (EDIP); environment-dependent interaction potential (EDIP)
9143,LX,Livermore Explosive (LX)
9144,Ni-Ta-N,Ni-doped TaN (Ni-Ta-N)
9145,IC3,Inner Cylinder 3 (IC3)
9146,STATCOM,static synchronous compensator (STATCOM)
9147,Ag-NPs,Ag-nanoparticles (Ag-NPs)
9148,CCN,covariant compositional network (CCN)
9149,CCN,cloud condensation nuclei (CCN)
9150,SGTE,Scientific Group Thermodata Europe (SGTE)
9151,TMBi,trimethyl-bismuth (TMBi); trimethyl bismuth(TMBi)
9152,AuNPs,are used to excite 100 nm gold nanoparticles (AuNPs)
9153,AuNPs,Au nano-particles (AuNPs); Au nanoparticles (AuNPs)
9154,AuNPs,at the metal-liquid interfaces of colloidal gold nanoparticles (AuNPs)
9155,AuNPs,a substrate and 40 nm gold nanoparticles (AuNPs)
9156,BSTO,Ba {x}S {1−x}TiO {3} (BSTO)
9157,Plts,platelets (Plts)
9158,OT-RSH,optimally tuned range-separated hybrid (OT-RSH)
9159,TM-N,transition metal and the nearest nitrogen atom with respect to TM (TM-N)
9160,HFLTS-AHP,hesitant fuzzy linguistic term set-based AHP (HFLTS-AHP)
9161,LINCS,linear constraint solver (LINCS); linear constraints solver (LINCS); Linear Constraint Solver (LINCS); LINear Constraint Solver (LINCS)
9162,VAFWCNTs,vertically aligned few-walled CNTs (VAFWCNTs)
9163,ARXD,angle-resolved x-ray diffraction (ARXD)
9164,APV,Amsterdam Piezo Valve (APV)
9165,APV,angled plan-view (APV)
9166,KLM,Kolafa-Labík-Malejevskí (KLM); Kolafa-Labík-Malijevský (KLM)
9167,FILM,Fractilia inverse linescan model (FILM)
9168,HDTV,high-definition television (HDTV)
9169,DPDF,dynamic pair distribution function (DPDF)
9170,HEAs,High Entropy Alloys (HEAs); high-entropy alloys (HEAs); high entropy alloys (HEAs)
9171,PLL,phase lock loop (PLL); phase-lock loop (PLL); phase-locked loop (PLL); phase locked loop (PLL); Phase-locked Loop (PLL); phase-locked-loop (PLL); phase-lock-loop (PLL); Phase-Locked Loop (PLL)
9172,WGFMU,Waveform Generator Fast Measurement Unit (WGFMU)
9173,PWAS,piecewise affine systems (PWAS)
9174,AADT,annual average daily traffic (AADT)
9175,HRE,heavy rare earth (HRE)
9176,ACPE,averaged condensed phase environment (ACPE)
9177,CDT,cyclopentadithiophene (CDT)
9178,CDT,coherent destruction of tunneling (CDT)
9179,CDT,current density tensor (CDT)
9180,TISE,three-dimensional implementation of the time-dependent Schrödinger equation (TISE)
9181,TISE,time-independent Schrödinger equation (TISE); time independent Schrödinger equation (TISE)
9182,MPTP,most probable transition pathway (MPTP)
9183,TPMD,through-plane mass disorder (TPMD)
9184,HFZ,high field zone (HFZ)
9185,VFF,valence force field (VFF); valence-force-field (VFF); valence-force field (VFF)
9186,GMA,glycidyl methacrylate (GMA)
9187,GMA,gas metal arc (GMA); gas-metal arc (GMA)
9188,GMA,Geminal measure of aromaticity (GMA)
9189,NBRE,nonlinear BRE (NBRE)
9190,LPBs,lower polariton branches (LPBs)
9191,TNE,Thermodynamic Non-Equilibrium (TNE)
9192,TSSUB,time slice subtraction (TSSUB)
9193,VCMS,variance consistent mean shift (VCMS)
9194,BFZO,BaFe {1−x}Zr {x}O {3−δ} (BFZO)
9195,XRFC,x-ray framing camera (XRFC)
9196,SMEM,smart macro energy manager (SMEM)
9197,NSW,non-switching component (NSW)
9198,NSW,New South Wales (NSW)
9199,NSW,New Small Wheel (NSW)
9200,POVMs,Positive Operator Valued Measures (POVMs); Positive Operator-Valued Measures (POVMs); positive-operator-valued measures (POVMs); positive-operator valued measures (POVMs); positive operator valued measures (POVMs)
9201,MBGF,many-body Green’s function (MBGF)
9202,FOF,Field Orientation Factor (FOF)
9203,OCCD,Optimized Coupled-Compact Difference (OCCD)
9204,ICON,Ionospheric Connection Explorer (ICON)
9205,ICON,icosahedral nonhydrostatic (ICON)
9206,UPTed,ultrasonic peening treated (UPTed)
9207,RMSEP,root mean square error of prediction (RMSEP)
9208,SRBD,Split Reactive Brownian Dynamics (SRBD)
9209,OSSs,open-shell singlet states (OSSs)
9210,ECRT,electron cyclotron resonance thruster (ECRT)
9211,OPT,optimized cavity (OPT)
9212,OPT,orientation phase transition (OPT)
9213,OPT,Optical projection tomography (OPT)
9214,ZPW,Z-Petawatt laser (ZPW)
9215,ZPW,Z-Petawatt (ZPW)
9216,CARM,Cyclotron Autoresonanse Maser (CARM); Cyclotron Autoresonance Maser (CARM); cyclotron autoresonance maser (CARM)
9217,ARXPS,angle-resolved XPS (ARXPS)
9218,ARXPS,angle-resolved x-ray photoelectron spectra (ARXPS); angle-resolved X-ray photoelectron spectroscopy (ARXPS); angle resolved x-ray photoelectron spectrometry (ARXPS); angle resolved x-ray photoelectron spectroscopy (ARXPS)
9219,GIXD,grazing incidence x-ray diffraction (GIXD); grazing incidence X-ray diffraction (GIXD); grazing angle incident X-ray diffraction (GIXD); grazing-incident x-ray diffraction (GIXD)
9220,SBN,strontium barium niobate (SBN); strontium barium niobate crystals (SBN); strontium bismuth niobate (SBN)
9221,SBN,Sr {1−x}Ba {x}Nb {2}O {6} (SBN); Sr {x}Ba {1−x}Nb {2}O {6} (SBN)
9222,SBN,SrBi {2}Nb {2}O {9} (SBN)
9223,EXED,Extreme Environment Diffractometer (EXED)
9224,GHP,Gill–Head-Gordon–Pople (GHP)
9225,GHP,Geroch-Held-Penrose (GHP)
9226,KLI,Krieger-Li-Iafrate (KLI)
9227,Y-TZP,yttria tetragonal zirconia polycrystalline (Y-TZP)
9228,NASA,National Aeronautics and Space Administration (NASA)
9229,FIMP,feebly interacting massive particle (FIMP)
9230,FF-IEF,free-flow isoelectric focusing (FF-IEF)
9231,GRNI,graded-resistance NI (GRNI)
9232,HEDSA,High Energy Density Science Association (HEDSA)
9233,SEDs,single electron devices (SEDs)
9234,GNs,granular structures (GNs)
9235,GNs,graphene nanostructures (GNs); graphene nanosheets (GNs)
9236,AB-TDTR,asymmetric beam time-domain thermoreflectance (AB-TDTR); Asymmetric-Beam Time-Domain Thermoreflectance (AB-TDTR); asymmetric-beam time-domain thermoreflectance technique (AB-TDTR)
9237,VSCF,vibrational self-consistent field (VSCF); vibrational self-consistent-field (VSCF); Vibrational Self-Consistent Field (VSCF); Vibrational Self Consistent Field (VSCF)
9238,NEWs,negative energy waves (NEWs)
9239,CMBs,crossed molecular beams (CMBs)
9240,SF-ER,SF network interconnecting to an ER network (SF-ER)
9241,UO,upper outer (UO)
9242,UO,uranium monoxide (UO)
9243,Nb,Nb/Al-AlO {x}(Nb)
9244,Nb,nm⩾λ {BCS}(Nb)
9245,Nb,Nb has been determined to high accuracy as IE(Nb)
9246,Nb,Nb^{5+} ions generally center into SrTiO {3} lattices to form donor defects (Nb)
9247,Nb,niobium (Nb)
9248,Nb,number of basis functions (Nb)
9249,UI,unaware and infected (UI)
9250,UI,upper inner (UI)
9251,UI,ultrasound imaging (UI)
9252,SIFE,specular inverse Faraday effect (SIFE)
9253,SRCC,single reference CC (SRCC); single-reference CC (SRCC)
9254,SRCC,Solar Rating & Certification Corporation (SRCC)
9255,M6QT,Mach 6 quiet wind tunnel (M6QT)
9256,HESs,hybrid energy systems (HESs); Hybrid Energy Systems (HESs)
9257,DRCLS,depth-resolved cathodoluminescence spectroscopy (DRCLS)
9258,AVE,average variance extracted (AVE)
9259,AVE,adjoint variational equation (AVE)
9260,DRSLL,Dion-Rydberg-Schroder-Langreth-Lundqvist (DRSLL)
9261,SRVs,surface recombination velocities (SRVs)
9262,HEOM,hierarchical equations of motion (HEOM); Hierarchy Equation Of Motion (HEOM); Hierarchical Equations of Motion (HEOM); hierarchal equations of motion (HEOM); hierarchical equation of motion (HEOM); hierarchy equations of motion (HEOM); hierarchy equation of motion (HEOM)
9263,MFRR,mass flow rate ratio (MFRR)
9264,SNIPER,saddle-node infinite period (SNIPER)
9265,SNIPER,saddle-node bifurcation of infinity period (SNIPER)
9266,LTMJ,low T {c} and medium J {f} (LTMJ)
9267,OCSC,off-center spin-coating (OCSC); Off-center spin-coating (OCSC)
9268,CQW,coupled quantum well (CQW)
9269,LASSO,Least Absolute Shrinkage and Selection Operator (LASSO); least absolute shrinkage and selection operator (LASSO)
9270,LAPO,Lightning Attachment Procedure Optimization (LAPO); Lightning attachment procedure optimization (LAPO)
9271,DMI,Dzyaloshinskii Moriya interaction (DMI); Dzyaloshinskii–Moriya interaction (DMI); Dzyaloshinskii-Moriya interaction (DMI); Dzyaloshinskii-Moriya Interaction (DMI)
9272,HNJP,Hongnijing project (HNJP)
9273,U125,undulator with 125 mm period length (U125)
9274,STEs,self-trapped excitons (STEs)
9275,STEs,suprathermal electrons (STEs)
9276,BOIA,bond order index of aromaticity (BOIA)
9277,ICP-MS,Inductively Coupled Plasma Mass Spectroscopy (ICP-MS); inductively coupled plasma mass spectrometer (ICP-MS); Inductively coupled plasma mass spectrometry (ICP-MS); inductively coupled plasma-mass spectrometry (ICP-MS); inductively coupled plasma mass spectroscopy (ICP-MS); inductively coupled plasma mass spectrometry (ICP-MS)
9278,ICP-MS,inductively coupled plasma solution analysis coupled with mass spectrometry (ICP-MS)
9279,Cy3,Cy3 monomer and (Cy3); Cy3 monomer and the (Cy3)
9280,Cy3,Cy3 monomer DNA construct in comparison to that of the (Cy3)
9281,FEOM,fiber electro-optic modulator (FEOM)
9282,FEOM,fiber EOM (FEOM)
9283,CEXs,charge-exchange collisions (CEXs)
9284,PHAD,process of hydrogen absorption/desorption (PHAD)
9285,NFP,near-field region of the plume (NFP)
9286,Pa,pressure amplitude (Pa)
9287,Pa,pascal (Pa); Pascals (Pa)
9288,Pa,pressure of reactant A (Pa)
9289,Pa,P as the air pressure (Pa)
9290,Pa,pressure of the anode flares P {A} (Pa)
9291,Pa,Pairs of two numbers in brackets indicate the pressure P (Pa)
9292,Pa,pressure at the SAH's inlet and P {out}(Pa)
9293,Pa,porous sample (Pa)
9294,Pa,pressure at the ith location (Pa)
9295,Pa,pressure	A-G	P {g} (Pa)
9296,Pa,p′ is the fluctuating pressure (Pa)
9297,HSFC,high speed framing camera (HSFC); high speed frame camera (HSFC); high-speed framing camera (HSFC)
9298,QSVs,quasi-streamwise vortices (QSVs)
9299,OPO/OPA,optical parametric oscillator/optical parametric amplifier (OPO/OPA)
9300,S-Bridge,Short Bridge (S-Bridge)
9301,AFRL,Air Force Research Laboratory (AFRL)
9302,Ev,exchange between the deep Mg impurity level and the valence band (Ev); exchange between the Mg acceptor level and the valence band (Ev)
9303,PSCT,polymer-stabilized cholesteric texture (PSCT)
9304,MSES,multiscale enhanced sampling (MSES)
9305,L-,left- (L-)
9306,L-,low (L-)
9307,CR-CCL,completely renormalized coupled-cluster (CR-CCL)
9308,PDCs,project development costs (PDCs)
9309,PDCs,phonon dispersion curves (PDCs)
9310,NLKG,nonlinear Klein-Gordon (NLKG)
